================================================================================
ROBUSTNESS METRICS SUMMARY REPORT
================================================================================
Generated: 2026-01-23 15:16:34
Output directory: ./analysis/robustness_results

--------------------------------------------------------------------------------
OVERVIEW
--------------------------------------------------------------------------------
aupc_raw            :    810 rows,  7 columns
aupc_summary        :    162 rows, 11 columns
rd_curve            : 973137 rows, 10 columns
rd_summary          :   3294 rows, 12 columns
csv_curve           :  16470 rows,  8 columns
csv_summary         :   3294 rows, 12 columns

--------------------------------------------------------------------------------
AUPC (Area Under Perturbation Curve) SUMMARY
--------------------------------------------------------------------------------

Statistics by grouping:
      dataset  tune     eval_mode   model noise_type  n     mean      std      sem   ci_low  ci_high
Lee2019_SSVEP  True WithinSession REEGNet   gaussian  5 0.547884 0.002628 0.001175 0.545580 0.550187

Top 10 Best AUPC (by mean):
 model       dataset noise_type     mean   ci_low  ci_high
EEGNet Lee2019_SSVEP   gaussian 0.973418 0.972701 0.974135
EEGNet Lee2019_SSVEP   gaussian 0.970436 0.969270 0.971602
EEGNet Lee2019_SSVEP   gaussian 0.935312 0.933138 0.937487
EEGNet Lee2019_SSVEP   gaussian 0.931894 0.930375 0.933414
EEGNet Lee2019_SSVEP   gaussian 0.917425 0.911613 0.923238
EEGNet Lee2019_SSVEP   gaussian 0.911296 0.901751 0.920841
EEGNet Lee2019_SSVEP    dropout 0.860735 0.857684 0.863786
EEGNet Lee2019_SSVEP    dropout 0.853834 0.853389 0.854279
EEGNet Lee2019_SSVEP    dropout 0.848420 0.839838 0.857002
EEGNet Lee2019_SSVEP    dropout 0.846605 0.839623 0.853586

--------------------------------------------------------------------------------
RD (Relative Degradation) SUMMARY (Sample)
--------------------------------------------------------------------------------
Showing first 20 rows:
dataset  tune    eval_mode   model noise_type        p    n     mean      std      sem   ci_low  ci_high
BI2015a False CrossSession CNN-NCP    dropout 0.000000 1108 0.000000 0.000000 0.000000 0.000000 0.000000
BI2015a False CrossSession CNN-NCP    dropout 0.010000  645 0.001863 0.009022 0.000355 0.001167 0.002560
BI2015a False CrossSession CNN-NCP    dropout 0.062105  645 0.001863 0.009022 0.000355 0.001167 0.002560
BI2015a False CrossSession CNN-NCP    dropout 0.114211  645 0.003247 0.014077 0.000554 0.002160 0.004333
BI2015a False CrossSession CNN-NCP    dropout 0.166316  645 0.004708 0.015780 0.000621 0.003490 0.005926
BI2015a False CrossSession CNN-NCP    dropout 0.218421  645 0.005356 0.019455 0.000766 0.003855 0.006858
BI2015a False CrossSession CNN-NCP    dropout 0.270526  645 0.005056 0.015970 0.000629 0.003824 0.006289
BI2015a False CrossSession CNN-NCP    dropout 0.322632  645 0.008056 0.021910 0.000863 0.006365 0.009747
BI2015a False CrossSession CNN-NCP    dropout 0.374737  645 0.007282 0.022567 0.000889 0.005540 0.009023
BI2015a False CrossSession CNN-NCP    dropout 0.426842  645 0.008319 0.023233 0.000915 0.006526 0.010112
BI2015a False CrossSession CNN-NCP    dropout 0.478947  645 0.011417 0.026630 0.001049 0.009362 0.013472
BI2015a False CrossSession CNN-NCP    dropout 0.531053  645 0.012640 0.028828 0.001135 0.010415 0.014865
BI2015a False CrossSession CNN-NCP    dropout 0.583158  645 0.013486 0.027916 0.001099 0.011332 0.015641
BI2015a False CrossSession CNN-NCP    dropout 0.635263  645 0.015327 0.031213 0.001229 0.012918 0.017735
BI2015a False CrossSession CNN-NCP    dropout 0.687368  645 0.018283 0.033619 0.001324 0.015688 0.020877
BI2015a False CrossSession CNN-NCP    dropout 0.739474  645 0.018602 0.034315 0.001351 0.015954 0.021251
BI2015a False CrossSession CNN-NCP    dropout 0.791579  645 0.023733 0.039477 0.001554 0.020687 0.026780
BI2015a False CrossSession CNN-NCP    dropout 0.843684  645 0.023372 0.038758 0.001526 0.020381 0.026363
BI2015a False CrossSession CNN-NCP    dropout 0.895789  645 0.030854 0.043113 0.001698 0.027526 0.034181
BI2015a False CrossSession CNN-NCP    dropout 0.947895  645 0.037862 0.045660 0.001798 0.034338 0.041385

--------------------------------------------------------------------------------
CSV_p (Cross-Subject Variance) SUMMARY (Sample)
--------------------------------------------------------------------------------
Showing first 20 rows:
dataset  tune    eval_mode   model noise_type        p  n         mean      std      sem       ci_low      ci_high
BI2015a False CrossSession CNN-NCP    dropout 0.000000  5 1.232595e-32 0.000000 0.000000 1.232595e-32 1.232595e-32
BI2015a False CrossSession CNN-NCP    dropout 0.010000  5 6.653639e-03 0.002237 0.001001 4.692503e-03 8.614774e-03
BI2015a False CrossSession CNN-NCP    dropout 0.062105  5 6.653639e-03 0.002237 0.001001 4.692503e-03 8.614774e-03
BI2015a False CrossSession CNN-NCP    dropout 0.114211  5 5.874313e-03 0.002291 0.001025 3.865960e-03 7.882666e-03
BI2015a False CrossSession CNN-NCP    dropout 0.166316  5 4.926975e-03 0.001651 0.000738 3.479780e-03 6.374169e-03
BI2015a False CrossSession CNN-NCP    dropout 0.218421  5 4.642647e-03 0.001503 0.000672 3.324830e-03 5.960464e-03
BI2015a False CrossSession CNN-NCP    dropout 0.270526  5 3.984564e-03 0.001520 0.000680 2.652214e-03 5.316915e-03
BI2015a False CrossSession CNN-NCP    dropout 0.322632  5 3.529771e-03 0.001076 0.000481 2.586710e-03 4.472832e-03
BI2015a False CrossSession CNN-NCP    dropout 0.374737  5 3.337185e-03 0.001204 0.000538 2.282021e-03 4.392348e-03
BI2015a False CrossSession CNN-NCP    dropout 0.426842  5 3.107638e-03 0.001127 0.000504 2.119420e-03 4.095856e-03
BI2015a False CrossSession CNN-NCP    dropout 0.478947  5 2.571349e-03 0.000844 0.000377 1.831907e-03 3.310790e-03
BI2015a False CrossSession CNN-NCP    dropout 0.531053  5 2.625534e-03 0.000848 0.000379 1.882636e-03 3.368432e-03
BI2015a False CrossSession CNN-NCP    dropout 0.583158  5 2.177637e-03 0.001026 0.000459 1.278324e-03 3.076951e-03
BI2015a False CrossSession CNN-NCP    dropout 0.635263  5 2.012448e-03 0.000673 0.000301 1.422341e-03 2.602555e-03
BI2015a False CrossSession CNN-NCP    dropout 0.687368  5 1.792841e-03 0.000601 0.000269 1.265919e-03 2.319764e-03
BI2015a False CrossSession CNN-NCP    dropout 0.739474  5 1.472925e-03 0.000679 0.000304 8.774360e-04 2.068414e-03
BI2015a False CrossSession CNN-NCP    dropout 0.791579  5 1.268175e-03 0.000416 0.000186 9.032262e-04 1.633123e-03
BI2015a False CrossSession CNN-NCP    dropout 0.843684  5 1.041095e-03 0.000393 0.000176 6.962453e-04 1.385944e-03
BI2015a False CrossSession CNN-NCP    dropout 0.895789  5 9.179299e-04 0.000379 0.000169 5.861057e-04 1.249754e-03
BI2015a False CrossSession CNN-NCP    dropout 0.947895  5 5.908582e-04 0.000104 0.000047 4.997121e-04 6.820042e-04

--------------------------------------------------------------------------------
SAVED FILES
--------------------------------------------------------------------------------
aupc_raw            : ./analysis/robustness_results\robustness_metrics_aupc_raw_20260123_151626.csv
aupc_summary        : ./analysis/robustness_results\robustness_metrics_aupc_summary_20260123_151626.csv
rd_curve            : ./analysis/robustness_results\robustness_metrics_rd_curve_20260123_151626.csv
rd_summary          : ./analysis/robustness_results\robustness_metrics_rd_summary_20260123_151626.csv
csv_curve           : ./analysis/robustness_results\robustness_metrics_csv_curve_20260123_151626.csv
csv_summary         : ./analysis/robustness_results\robustness_metrics_csv_summary_20260123_151626.csv

================================================================================
END OF REPORT
================================================================================
